participant_id	date	age	birhtday	sex
sub-01	2022-04-22	20	2001-09-25	weiblich
sub-02	2022-05-05	23	1998-05-15	weiblich
sub-03	2022-05-05	20	2001-05-31	männlich
sub-04	2022-05-05	19	2002-09-30	weiblich
sub-05	2022-05-05	20	2001-05-13	weiblich
sub-06	2022-05-06	21	2000-11-13	weiblich
sub-07	2022-05-12	19	2002-11-02	weiblich
sub-08	2022-05-12	19	2002-06-22	männlich
sub-09	2022-05-12	20	2001-06-26	weiblich
sub-10	2022-05-17	24	1997-06-30	männlich
sub-11	2022-05-31	20	2001-06-05	weiblich
sub-12	2022-06-02	24	1997-07-06	männlich
sub-13	2022-06-02	20	2001-05-24	weiblich
sub-14	2022-06-09	19	2003-01-09	weiblich
sub-15	2022-06-10	23	1999-03-03	weiblich
sub-16	2022-06-16	26	1996-05-31	männlich
sub-17	2022-06-16	23	1999-02-05	männlich
sub-18	2022-07-08	26	1996-01-21	männlich
sub-19	2022-07-12	21	2001-02-12	männlich
sub-20	2022-07-14	24	1998-05-27	männlich
sub-21	2022-07-14	19	2003-02-12	männlich
sub-22	2022-07-21	25	1997-01-08	weiblich
sub-23	2022-07-22	21	2000-07-28	weiblich
sub-24	2022-08-04	21	2000-10-23	männlich
sub-26	2022-08-05	19	2003-03-09	männlich
sub-27	2022-08-11	20	2022-02-22	weiblich
sub-28	2022-08-11	25	1997-07-14	männlich
sub-29	2022-08-12	22	2000-05-06	männlich
sub-31	2022-10-28	21	2002-06-05	weiblich
sub-33	2022-10-06	25	1996-10-30	weiblich
sub-34	2022-10-27	20	2002-06-08	weiblich
